PassengerId,Survived,Pclass,Age,Fare,Sex_male,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_None,Cabin_T,FamilyMembers
1,0,0,22.0,2.1102132003465894,1,0,1,0,0,0,0,0,0,1,0,1
2,1,2,38.0,4.2805931204649,0,0,0,0,1,0,0,0,0,0,0,1
3,1,0,26.0,2.188856327665703,0,0,1,0,0,0,0,0,0,1,0,0
4,1,2,35.0,3.9908341858524357,0,0,1,0,1,0,0,0,0,0,0,1
5,0,0,35.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
6,0,0,28.0,2.246892662898172,1,1,0,0,0,0,0,0,0,1,0,0
7,0,2,54.0,3.967694202798607,1,0,1,0,0,0,1,0,0,0,0,0
8,0,0,2.0,3.0944457464900235,1,0,1,0,0,0,0,0,0,1,0,4
9,1,0,27.0,2.495953738718064,0,0,1,0,0,0,0,0,0,1,0,2
10,1,1,14.0,3.436268471383741,0,0,0,0,0,0,0,0,0,1,0,1
11,1,0,4.0,2.8735646395797834,0,0,1,0,0,0,0,0,1,0,0,2
12,1,2,58.0,3.3160025355989236,0,0,1,0,1,0,0,0,0,0,0,0
13,0,0,20.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
14,0,0,39.0,3.4742929367327062,1,0,1,0,0,0,0,0,0,1,0,6
15,0,0,14.0,2.180891922715322,0,0,1,0,0,0,0,0,0,1,0,0
16,1,1,55.0,2.833213344056216,0,0,1,0,0,0,0,0,0,1,0,0
17,0,0,2.0,3.405355391810819,1,1,0,0,0,0,0,0,0,1,0,5
18,1,1,28.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
19,0,0,31.0,2.9444389791664403,0,0,1,0,0,0,0,0,0,1,0,1
20,1,0,28.0,2.1071782966514356,0,0,0,0,0,0,0,0,0,1,0,0
21,0,1,35.0,3.295836866004329,1,0,1,0,0,0,0,0,0,1,0,0
22,1,1,34.0,2.6390573296152584,1,0,1,0,0,1,0,0,0,0,0,0
23,1,0,15.0,2.2004637699272855,0,1,0,0,0,0,0,0,0,1,0,0
24,1,2,28.0,3.597312260588446,1,0,1,0,0,0,0,0,0,0,0,0
25,0,0,8.0,3.0944457464900235,0,0,1,0,0,0,0,0,0,1,0,4
26,1,0,38.0,3.4777725458882283,0,0,1,0,0,0,0,0,0,1,0,6
27,0,0,28.0,2.1071782966514356,1,0,0,0,0,0,0,0,0,1,0,0
28,0,2,19.0,5.575949103146316,1,0,1,0,1,0,0,0,0,0,0,5
29,1,0,28.0,2.1837114628556327,0,1,0,0,0,0,0,0,0,1,0,0
30,0,0,28.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
31,0,2,40.0,3.357621598945279,1,0,0,0,0,0,0,0,0,1,0,0
32,1,2,28.0,4.993969182787072,0,0,0,1,0,0,0,0,0,0,0,1
33,1,0,28.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
34,0,1,66.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
35,0,2,28.0,4.420896324687287,1,0,0,0,0,0,0,0,0,1,0,1
36,0,2,42.0,3.970291913552122,1,0,1,0,0,0,0,0,0,1,0,1
37,1,0,28.0,2.1076888046179385,1,0,0,0,0,0,0,0,0,1,0,0
38,0,0,21.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
39,0,0,18.0,2.9444389791664403,0,0,1,0,0,0,0,0,0,1,0,2
40,1,0,14.0,2.5048481563289,0,0,0,0,0,0,0,0,0,1,0,1
41,0,0,40.0,2.348991465808201,0,0,1,0,0,0,0,0,0,1,0,1
42,0,1,27.0,3.091042453358316,0,0,1,0,0,0,0,0,0,1,0,1
43,0,0,28.0,2.1855792552411137,1,0,0,0,0,0,0,0,0,1,0,0
44,1,1,3.0,3.7513658711253766,0,0,0,0,0,0,0,0,0,1,0,3
45,1,0,19.0,2.1837114628556327,0,1,0,0,0,0,0,0,0,1,0,0
46,0,0,28.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
47,0,0,28.0,2.803360380906535,1,1,0,0,0,0,0,0,0,1,0,1
48,1,0,28.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
49,0,0,28.0,3.1214482048688246,1,0,0,0,0,0,0,0,0,1,0,2
50,0,0,18.0,2.9338568698359038,0,0,1,0,0,0,0,0,0,1,0,1
51,0,0,7.0,3.705920919968788,1,0,1,0,0,0,0,0,0,1,0,5
52,0,0,21.0,2.174751721484161,1,0,1,0,0,0,0,0,0,1,0,0
53,1,2,49.0,4.353230991152628,0,0,0,0,0,1,0,0,0,0,0,1
54,1,1,29.0,3.295836866004329,0,0,1,0,0,0,0,0,0,1,0,1
55,0,2,65.0,4.142804513146981,1,0,0,1,0,0,0,0,0,0,0,1
56,1,2,28.0,3.597312260588446,1,0,1,0,1,0,0,0,0,0,0,0
57,1,1,21.0,2.4423470353692043,0,0,1,0,0,0,0,0,0,1,0,0
58,0,0,28.5,2.1076888046179385,1,0,0,0,0,0,0,0,0,1,0,0
59,1,1,5.0,3.3586377672433594,0,0,1,0,0,0,0,0,0,1,0,3
60,0,0,11.0,3.8691155044168695,1,0,1,0,0,0,0,0,0,1,0,7
61,0,0,22.0,2.1076888046179385,1,0,0,0,0,0,0,0,0,1,0,0
62,1,2,38.0,4.394449154672439,0,0,0,1,0,0,0,0,0,0,0,0
63,0,2,45.0,4.436455632600354,1,0,1,0,1,0,0,0,0,0,0,1
64,0,0,4.0,3.3638415951183864,1,0,1,0,0,0,0,0,0,1,0,5
65,0,2,28.0,3.357621598945279,1,0,0,0,0,0,0,0,0,1,0,0
66,1,0,28.0,2.7878344138303452,1,0,0,0,0,0,0,0,0,1,0,2
67,1,1,29.0,2.4423470353692043,0,0,1,0,0,0,0,1,0,0,0,0
68,0,0,19.0,2.2146605719425225,1,0,1,0,0,0,0,0,0,1,0,0
69,1,0,17.0,2.188856327665703,0,0,1,0,0,0,0,0,0,1,0,6
70,0,0,26.0,2.2682524139135403,1,0,1,0,0,0,0,0,0,1,0,2
71,0,1,32.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
72,0,0,16.0,3.8691155044168695,0,0,1,0,0,0,0,0,0,1,0,7
73,0,1,21.0,4.310799125385514,1,0,1,0,0,0,0,0,0,1,0,0
74,0,0,26.0,2.737880811060884,1,0,0,0,0,0,0,0,0,1,0,1
75,1,0,32.0,4.05171190165724,1,0,1,0,0,0,0,0,0,1,0,0
76,0,0,25.0,2.157559320943788,1,0,1,0,0,0,0,1,0,0,0,0
77,0,0,28.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
78,0,0,28.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
79,1,1,0.83,3.4011973816621555,1,0,1,0,0,0,0,0,0,1,0,2
80,1,0,30.0,2.600836116795061,0,0,1,0,0,0,0,0,0,1,0,0
81,0,0,22.0,2.302585092994046,1,0,1,0,0,0,0,0,0,1,0,0
82,1,0,29.0,2.3513752571634776,1,0,1,0,0,0,0,0,0,1,0,0
83,1,0,28.0,2.1733302571367834,0,1,0,0,0,0,0,0,0,1,0,0
84,0,2,28.0,3.8732821771117156,1,0,1,0,0,0,0,0,0,1,0,0
85,1,1,17.0,2.4423470353692043,0,0,1,0,0,0,0,0,0,1,0,0
86,1,0,33.0,2.8243506567983707,0,0,1,0,0,0,0,0,0,1,0,3
87,0,0,16.0,3.5660053559634015,1,0,1,0,0,0,0,0,0,1,0,4
88,0,0,28.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
89,1,2,23.0,5.575949103146316,0,0,1,0,1,0,0,0,0,0,0,5
90,0,0,24.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
91,0,0,29.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
92,0,0,20.0,2.180891922715322,1,0,1,0,0,0,0,0,0,1,0,0
93,0,2,46.0,4.1299529896894684,1,0,1,0,0,0,1,0,0,0,0,1
94,0,0,26.0,3.0715352369694915,1,0,1,0,0,0,0,0,0,1,0,3
95,0,0,59.0,2.1102132003465894,1,0,1,0,0,0,0,0,0,1,0,0
96,0,0,28.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
97,0,2,71.0,3.57386695198272,1,0,0,0,0,0,0,0,0,0,0,0
98,1,2,23.0,4.164465907853638,1,0,0,0,0,1,0,0,0,0,0,1
99,1,1,34.0,3.1780538303479458,0,0,1,0,0,0,0,0,0,1,0,1
100,0,1,34.0,3.295836866004329,1,0,1,0,0,0,0,0,0,1,0,1
101,0,0,28.0,2.1855792552411137,0,0,1,0,0,0,0,0,0,1,0,0
102,0,0,28.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
103,0,2,21.0,4.360387947851531,1,0,1,0,0,1,0,0,0,0,0,1
104,0,0,33.0,2.267393053825037,1,0,1,0,0,0,0,0,0,1,0,0
105,0,0,37.0,2.188856327665703,1,0,1,0,0,0,0,0,0,1,0,2
106,0,0,28.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
107,1,0,21.0,2.157559320943788,0,0,1,0,0,0,0,0,0,1,0,0
108,1,0,28.0,2.1719067693519296,1,0,1,0,0,0,0,0,0,1,0,0
109,0,0,38.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
110,1,0,28.0,3.224857896545748,0,1,0,0,0,0,0,0,0,1,0,1
111,0,2,47.0,3.970291913552122,1,0,1,0,1,0,0,0,0,0,0,0
112,0,0,14.5,2.737880811060884,0,0,0,0,0,0,0,0,0,1,0,1
113,0,0,22.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
114,0,0,20.0,2.3818582738885534,0,0,1,0,0,0,0,0,0,1,0,1
115,0,0,17.0,2.738146075922933,0,0,0,0,0,0,0,0,0,1,0,0
116,0,0,21.0,2.188856327665703,1,0,1,0,0,0,0,0,0,1,0,0
117,0,0,70.5,2.169053700369523,1,1,0,0,0,0,0,0,0,1,0,0
118,0,1,29.0,3.091042453358316,1,0,1,0,0,0,0,0,0,1,0,1
119,0,2,24.0,5.515526544247129,1,0,0,1,0,0,0,0,0,0,0,1
120,0,0,2.0,3.4742929367327062,0,0,1,0,0,0,0,0,0,1,0,6
121,0,1,21.0,4.310799125385514,1,0,1,0,0,0,0,0,0,1,0,2
122,0,0,28.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
123,0,1,32.5,3.436268471383741,1,0,0,0,0,0,0,0,0,1,0,1
124,1,1,32.5,2.6390573296152584,0,0,1,0,0,0,1,0,0,0,0,0
125,0,2,54.0,4.360387947851531,1,0,1,0,0,1,0,0,0,0,0,1
126,1,0,12.0,2.5048481563289,1,0,0,0,0,0,0,0,0,1,0,1
127,0,0,28.0,2.169053700369523,1,1,0,0,0,0,0,0,0,1,0,0
128,1,0,24.0,2.0969990034181696,1,0,1,0,0,0,0,0,0,1,0,0
129,1,0,28.0,3.1509523813392697,0,0,0,0,0,0,0,1,0,0,0,2
130,0,0,45.0,2.076311648670908,1,0,1,0,0,0,0,0,0,1,0,0
131,0,0,33.0,2.1855792552411137,1,0,0,0,0,0,0,0,0,1,0,0
132,0,0,20.0,2.085672091430472,1,0,1,0,0,0,0,0,0,1,0,0
133,0,0,47.0,2.740840023925201,0,0,1,0,0,0,0,0,0,1,0,1
134,1,1,29.0,3.295836866004329,0,0,1,0,0,0,0,0,0,1,0,1
135,0,1,25.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
136,0,1,23.0,2.775447133088262,1,0,0,0,0,0,0,0,0,1,0,0
137,1,2,19.0,3.3062747934011893,0,0,1,0,0,1,0,0,0,0,0,2
138,0,2,37.0,3.9908341858524357,1,0,1,0,1,0,0,0,0,0,0,1
139,0,0,16.0,2.3240236363515288,1,0,1,0,0,0,0,0,0,1,0,0
140,0,2,24.0,4.384523514872469,1,0,0,1,0,0,0,0,0,0,0,0
141,0,0,28.0,2.7878344138303452,0,0,0,0,0,0,0,0,0,1,0,2
142,1,0,22.0,2.169053700369523,0,0,1,0,0,0,0,0,0,1,0,0
143,1,0,24.0,2.8243506567983707,0,0,1,0,0,0,0,0,0,1,0,1
144,0,0,19.0,2.0476928433652555,1,1,0,0,0,0,0,0,0,1,0,0
145,0,1,18.0,2.5257286443082556,1,0,1,0,0,0,0,0,0,1,0,0
146,0,1,19.0,3.6309854756950335,1,0,1,0,0,0,0,0,0,1,0,2
147,1,0,27.0,2.174274334826008,1,0,1,0,0,0,0,0,0,1,0,0
148,0,0,9.0,3.5660053559634015,0,0,1,0,0,0,0,0,0,1,0,4
149,0,1,36.5,3.295836866004329,1,0,1,0,0,0,0,1,0,0,0,2
150,0,1,42.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
151,0,1,51.0,2.6045398247325453,1,0,1,0,0,0,0,0,0,1,0,0
152,1,2,22.0,4.213607983048918,0,0,1,0,1,0,0,0,0,0,0,1
153,0,0,55.5,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
154,0,0,40.5,2.740840023925201,1,0,1,0,0,0,0,0,0,1,0,2
155,0,0,28.0,2.1177604059819726,1,0,1,0,0,0,0,0,0,1,0,0
156,0,2,51.0,4.133231886474144,1,0,0,0,0,0,0,0,0,1,0,1
157,1,0,16.0,2.167143305297764,0,1,0,0,0,0,0,0,0,1,0,0
158,0,0,30.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
159,0,0,28.0,2.2682524139135403,1,0,1,0,0,0,0,0,0,1,0,0
160,0,0,28.0,4.256321678298823,1,0,1,0,0,0,0,0,0,1,0,10
161,0,0,44.0,2.8390784635086144,1,0,1,0,0,0,0,0,0,1,0,1
162,1,1,40.0,2.8183982582710754,0,0,1,0,0,0,0,0,0,1,0,0
163,0,0,26.0,2.1719067693519296,1,0,1,0,0,0,0,0,0,1,0,0
164,0,0,17.0,2.2682524139135403,1,0,1,0,0,0,0,0,0,1,0,0
165,0,0,1.0,3.705920919968788,1,0,1,0,0,0,0,0,0,1,0,5
166,1,0,9.0,3.0692150503137943,1,0,1,0,0,0,0,0,0,1,0,2
167,1,2,28.0,4.02535169073515,0,0,1,0,0,0,1,0,0,0,0,1
168,0,0,45.0,3.3638415951183864,0,0,1,0,0,0,0,0,0,1,0,5
169,0,2,28.0,3.2930552230424524,1,0,1,0,0,0,0,0,0,1,0,0
170,0,0,28.0,4.05171190165724,1,0,1,0,0,0,0,0,0,1,0,0
171,0,2,61.0,3.5409593240373143,1,0,1,1,0,0,0,0,0,0,0,0
172,0,0,4.0,3.405355391810819,1,1,0,0,0,0,0,0,0,1,0,5
173,1,0,1.0,2.495953738718064,0,0,1,0,0,0,0,0,0,1,0,2
174,0,0,21.0,2.188856327665703,1,0,1,0,0,0,0,0,0,1,0,0
175,0,2,56.0,3.4561841799918147,1,0,0,0,0,0,0,0,0,0,0,0
176,0,0,18.0,2.180891922715322,1,0,1,0,0,0,0,0,0,1,0,2
177,0,0,28.0,3.275887339030031,1,0,1,0,0,0,0,0,0,1,0,4
178,0,2,50.0,3.391567832686312,0,0,0,0,1,0,0,0,0,0,0,0
179,0,1,30.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
180,0,0,36.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
181,0,0,28.0,4.256321678298823,0,0,1,0,0,0,0,0,0,1,0,10
182,0,1,28.0,2.775708849576025,1,0,0,0,0,0,0,0,0,1,0,0
183,0,0,9.0,3.4777725458882283,1,0,1,0,0,0,0,0,0,1,0,6
184,1,1,1.0,3.6888794541139363,1,0,1,0,0,0,0,1,0,0,0,3
185,1,0,4.0,3.1365805821413706,0,0,1,0,0,0,0,0,0,1,0,2
186,0,2,28.0,3.9318256327243257,1,0,1,0,0,0,0,0,0,0,0,0
187,1,0,28.0,2.803360380906535,0,1,0,0,0,0,0,0,0,1,0,1
188,1,2,45.0,3.3160025355989236,1,0,1,0,0,0,0,0,0,1,0,0
189,0,0,40.0,2.803360380906535,1,1,0,0,0,0,0,0,0,1,0,2
190,0,0,36.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
191,1,1,32.0,2.6390573296152584,0,0,1,0,0,0,0,0,0,1,0,0
192,0,1,19.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
193,1,0,19.0,2.180891922715322,0,0,1,0,0,0,0,0,0,1,0,1
194,1,1,3.0,3.295836866004329,1,0,1,0,0,0,0,1,0,0,0,2
195,1,2,44.0,3.357621598945279,0,0,0,1,0,0,0,0,0,0,0,0
196,1,2,58.0,4.993969182787072,0,0,0,1,0,0,0,0,0,0,0,0
197,0,0,28.0,2.169053700369523,1,1,0,0,0,0,0,0,0,1,0,0
198,0,0,42.0,2.2411563979973974,1,0,1,0,0,0,0,0,0,1,0,1
199,1,0,28.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
200,0,1,24.0,2.6390573296152584,0,0,1,0,0,0,0,0,0,1,0,0
201,0,0,28.0,2.3513752571634776,1,0,1,0,0,0,0,0,0,1,0,0
202,0,0,28.0,4.256321678298823,1,0,1,0,0,0,0,0,0,1,0,10
203,0,0,34.0,2.0143428636837015,1,0,1,0,0,0,0,0,0,1,0,0
204,0,0,45.5,2.1071782966514356,1,0,0,0,0,0,0,0,0,1,0,0
205,1,0,18.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
206,0,0,2.0,2.4390808375825834,0,0,1,0,0,0,0,0,1,0,0,1
207,0,0,32.0,2.8243506567983707,1,0,1,0,0,0,0,0,0,1,0,1
208,1,0,26.0,2.9850504252071306,1,0,0,0,0,0,0,0,0,1,0,0
209,1,0,16.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
210,1,2,40.0,3.4657359027997265,1,0,0,0,0,0,0,0,0,0,0,0
211,0,0,24.0,2.085672091430472,1,0,1,0,0,0,0,0,0,1,0,0
212,1,1,35.0,3.091042453358316,0,0,1,0,0,0,0,0,0,1,0,0
213,0,0,22.0,2.1102132003465894,1,0,1,0,0,0,0,0,0,1,0,0
214,0,1,30.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
215,0,0,28.0,2.169053700369523,1,1,0,0,0,0,0,0,0,1,0,1
216,1,2,31.0,4.738607824217808,0,0,0,0,0,1,0,0,0,0,0,1
217,1,0,27.0,2.188856327665703,0,0,1,0,0,0,0,0,0,1,0,0
218,0,1,42.0,3.332204510175204,1,0,1,0,0,0,0,0,0,1,0,1
219,1,2,32.0,4.347586575960343,0,0,0,0,0,1,0,0,0,0,0,0
220,0,1,30.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
221,1,0,16.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
222,0,1,27.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
223,0,0,51.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
224,0,0,28.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
225,1,2,38.0,4.51085950651685,1,0,1,0,1,0,0,0,0,0,0,1
226,0,0,22.0,2.336986519711378,1,0,1,0,0,0,0,0,0,1,0,0
227,1,1,19.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
228,0,0,20.5,2.1102132003465894,1,0,1,0,0,0,0,0,0,1,0,0
229,0,1,18.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
230,0,0,28.0,3.275887339030031,0,0,1,0,0,0,0,0,0,1,0,4
231,1,2,35.0,4.436455632600354,0,0,1,0,1,0,0,0,0,0,0,1
232,0,0,29.0,2.1719067693519296,1,0,1,0,0,0,0,0,0,1,0,0
233,0,1,59.0,2.6741486494265287,1,0,1,0,0,0,0,0,0,1,0,0
234,1,0,5.0,3.4777725458882283,0,0,1,0,0,0,0,0,0,1,0,6
235,0,1,24.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
236,0,0,28.0,2.145931282948669,0,0,1,0,0,0,0,0,0,1,0,0
237,0,1,44.0,3.295836866004329,1,0,1,0,0,0,0,0,0,1,0,1
238,1,1,8.0,3.305053521109253,0,0,1,0,0,0,0,0,0,1,0,2
239,0,1,19.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
240,0,1,33.0,2.5858825671280026,1,0,1,0,0,0,0,0,0,1,0,0
241,0,0,28.0,2.737880811060884,0,0,0,0,0,0,0,0,0,1,0,1
242,1,0,28.0,2.803360380906535,0,1,0,0,0,0,0,0,0,1,0,1
243,0,1,29.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
244,0,0,22.0,2.094945728215801,1,0,1,0,0,0,0,0,0,1,0,0
245,0,0,30.0,2.1071782966514356,1,0,0,0,0,0,0,0,0,1,0,0
246,0,2,44.0,4.51085950651685,1,1,0,0,1,0,0,0,0,0,0,2
247,0,0,25.0,2.1719067693519296,0,0,1,0,0,0,0,0,0,1,0,0
248,1,1,24.0,2.740840023925201,0,0,1,0,0,0,0,0,0,1,0,2
249,1,2,37.0,3.9806942251907276,1,0,1,0,0,1,0,0,0,0,0,2
250,0,1,54.0,3.295836866004329,1,0,1,0,0,0,0,0,0,1,0,1
251,0,0,28.0,2.1102132003465894,1,0,1,0,0,0,0,0,0,1,0,0
252,0,0,29.0,2.4390808375825834,0,0,1,0,0,0,0,0,1,0,0,2
253,0,2,62.0,3.3160025355989236,1,0,1,0,1,0,0,0,0,0,0,0
254,0,0,30.0,2.8390784635086144,1,0,1,0,0,0,0,0,0,1,0,1
255,0,0,41.0,3.0545906305603445,0,0,1,0,0,0,0,0,0,1,0,2
256,1,0,29.0,2.7878344138303452,0,0,0,0,0,0,0,0,0,1,0,2
257,1,2,28.0,4.384523514872469,0,0,0,0,0,0,0,0,0,1,0,0
258,1,2,30.0,4.471638793363569,0,0,1,1,0,0,0,0,0,0,0,0
259,1,2,35.0,6.240917354759096,0,0,0,0,0,0,0,0,0,1,0,0
260,1,1,50.0,3.295836866004329,0,0,1,0,0,0,0,0,0,1,0,1
261,0,0,28.0,2.169053700369523,1,1,0,0,0,0,0,0,0,1,0,0
262,1,0,3.0,3.4777725458882283,1,0,1,0,0,0,0,0,0,1,0,6
263,0,2,52.0,4.390118804571218,1,0,1,0,0,0,1,0,0,0,0,2
264,0,2,40.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0
265,0,0,28.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
266,0,1,36.0,2.4423470353692043,1,0,1,0,0,0,0,0,0,1,0,0
267,0,0,16.0,3.705920919968788,1,0,1,0,0,0,0,0,0,1,0,5
268,1,0,25.0,2.1719067693519296,1,0,1,0,0,0,0,0,0,1,0,1
269,1,2,58.0,5.039951348430309,0,0,1,0,1,0,0,0,0,0,0,1
270,1,2,35.0,4.91730069488021,0,0,1,0,1,0,0,0,0,0,0,0
271,0,2,28.0,3.4657359027997265,1,0,1,0,0,0,0,0,0,1,0,0
272,1,0,25.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
273,1,1,41.0,3.0204248861443626,0,0,1,0,0,0,0,0,0,1,0,1
274,0,2,37.0,3.4242626545931514,1,0,0,0,1,0,0,0,0,0,0,1
275,1,0,28.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
276,1,2,63.0,4.368919865004903,0,0,1,0,0,1,0,0,0,0,0,1
277,0,0,45.0,2.169053700369523,0,0,1,0,0,0,0,0,0,1,0,0
278,0,1,28.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
279,0,0,7.0,3.405355391810819,1,1,0,0,0,0,0,0,0,1,0,5
280,1,0,35.0,3.056356895370426,0,0,1,0,0,0,0,0,0,1,0,2
281,0,0,65.0,2.169053700369523,1,1,0,0,0,0,0,0,0,1,0,0
282,0,0,28.0,2.180891922715322,1,0,1,0,0,0,0,0,0,1,0,0
283,0,0,16.0,2.3513752571634776,1,0,1,0,0,0,0,0,0,1,0,0
284,1,0,19.0,2.2027647577118348,1,0,1,0,0,0,0,0,0,1,0,0
285,0,2,28.0,3.295836866004329,1,0,1,0,0,0,0,0,0,0,0,0
286,0,0,33.0,2.2682524139135403,1,0,0,0,0,0,0,0,0,1,0,0
287,1,0,30.0,2.3513752571634776,1,0,1,0,0,0,0,0,0,1,0,0
288,0,0,22.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
289,1,1,42.0,2.6390573296152584,1,0,1,0,0,0,0,0,0,1,0,0
290,1,0,22.0,2.169053700369523,0,1,0,0,0,0,0,0,0,1,0,0
291,1,2,26.0,4.380149874661021,0,0,1,0,0,0,0,0,0,1,0,0
292,1,2,19.0,4.5226490762785785,0,0,0,1,0,0,0,0,0,0,0,1
293,0,1,36.0,2.630088659632498,1,0,0,0,0,1,0,0,0,0,0,0
294,0,0,24.0,2.2874714551839976,0,0,1,0,0,0,0,0,0,1,0,0
295,0,0,24.0,2.1855792552411137,1,0,1,0,0,0,0,0,0,1,0,0
296,0,2,28.0,3.357621598945279,1,0,0,0,0,0,0,0,0,1,0,0
